Табличка / направление,Начало маршрута,Окончание маршрута,Тип рейса
Муринская - Хлебный дом - Коломенское,"Тиньков переулок, 7Д","Смоленская улица, 18А",1/2 круга
Муринская - Хлебный дом - Коломенское,"Тиньков переулок, 7Д","Ул. Ольги Форш, 10",1/2 круга
Муринская - Хлебный дом - Коломенское,"Смоленская улица, 18А","Тиньков переулок, 7Д",1/2 круга
НАО Перинт,Ст.м. Дыбенко,"Заневское городское поселение, 1-й проезд, 15/16, территория Соржа",Прямой
НПО Промет,"Ст.м.Купчино (Витебский пр., 101)","Московское ш., 139",Прямой
НПО Промет,"Московское ш., 139",Ст.м.Купчино,Прямой
НТК,Ст.м. Купчино,"Федоровское, 1-й Восточный пр., 9",Прямой
НТК,"Федоровское, 1-й Восточный пр., 9",Ст.м. Купчино,Прямой
ООО АБ Инжиниринг,Ст.м. Проспект Просвещения,"АК ""Левашово""",Прямой
ООО АБ Инжиниринг,"АК ""Левашово""",Ст.м. Проспект Просвещения,Прямой
ООО Т2 Мобайл (Ст.м. Беговая),Ст.м. Беговая,"Приморский пр., 54к1",Прямой
ООО Т2 Мобайл (Ст.м. Старая Деревня),Ст.м. Старая Деревня,"Приморский пр., 54к1",Прямой
ООО ЧОО РН БЕЗОПАСНОСТЬ (Волхонское),"Колпино, Финляндская ул., 17к3","Волхонское ш., 108с4 - Колпино, Финляндская ул., 17к3",Прямой
ООО ЧОО РН БЕЗОПАСНОСТЬ (Колпино),"Колпино, Финляндская ул., 17к3","Колпинское ш., 135к2с1 - Колпино, Финляндская ул., 17к3",Прямой
ООО ЧОО РН БЕЗОПАСНОСТЬ (Колпино),"Колпино, Финляндская ул., 17к3","Колпинское ш., 135к2с1",Прямой
Оглаенд Систем,"Коломяжский пр., 26А","Горское ш., 169",Прямой
Оглаенд Систем,"Горское ш., 169","Коломяжский пр., 24",Прямой
Оглаенд Систем (Бугры),"Бугры, Южная ул., 5 (Лента, парковка)","Горское ш., 169",Прямой
Оглаенд Систем (Бугры),"Горское ш., 169","Бугры, Южная ул., 5 (Лента, парковка)",Прямой
Один,Дачный 19к1,"Волхонское ш., 4к8 стр. 2",Прямой
Один,"Волхонское ш., 4к8 стр. 2",Дачный 19к1,Прямой
Оптоган,Ст.м. Проспект Ветеранов,"Таллинское ш., 206",Прямой
Оптоган,"Таллинское ш., 206",Ст.м. Проспект Ветеранов,Прямой
ПАО «Россети Ленэнерго»,Ст.м. Черная речка,"Белоостров, Новое ш., 53А",Прямой
ПАО «Россети Ленэнерго»,"Белоостров, Новое ш., 53А",Ст.м. Черная речка,Прямой
ПИТ-ПРОДУКТ (Красное Село),"Красное Село, Красногородская ул./ Гатчинское ш.","ул. Понссе, 3",1/2 круга
ПИТ-ПРОДУКТ (Красное Село),"ул. Понссе, 3","Красное Село, Красногородская ул./ Гатчинское ш.",1/2 круга
ПИТ-ПРОДУКТ (ст.м. Московская),"Пр. Большевиков, д.1","ул. Понссе, 3",1/2 круга
ПИТ-ПРОДУКТ (ст.м. Московская),"ул. Понссе, 3",Ст.м. Московская,1/2 круга
ПИТ-ПРОДУКТ (ст.м. Московская),Ст.м. Московская (Демонстрационный пр-д),"ул. Понссе, 3",1/2 круга
ПИТ-ПРОДУКТ (ст.м. Московская),"ул. Понссе, 3",Ст.м. Московская,Прямой
Пеоли РУС,"Витебский пр., 99 (ст.м. Купчино)","Московское ш., 26 и через откатные ворота к Москоскому ш.56",1/2 круга
Пеоли РУС,"Московское ш., 26","Витебский пр., 99 (ст.м. Купчино)",1/2 круга
Пеоли РУС,"Витебский пр., 99 (ст.м. Купчино)","Московское ш., 26 и через откатные ворота к Москоскому ш.64",1/2 круга
Петрович (ст.м.Гражданский проспект),Ст.м.Гражданский пр.,"ЦО (6-й Верхний переулок, 12В)",Прямой
Петрович (ст.м.Гражданский проспект),"ЦО (6-й Верхний переулок, 12В)",Ст.м.Гражданский пр.,Прямой
Петрович (ст.м.Парнас),Ст.м. Парнас,"ЦО (6-й Верхний переулок, 12В)",Прямой
Петрович (ст.м.Парнас),"ЦО (6-й Верхний переулок, 12В)",Ст.м. Парнас,Прямой
Равиолло,"Ст.м. Московская Демонстрационный пр-д, остановка","Петергофское ш., 73к2",1/2 круга
Равиолло,"Петергофское ш., 73к2",Ст.м. Ленинский пр.,1/2 круга
Равиолло,Ст.м. Ленинский пр.,"Петергофское ш., 73к2",1/2 круга
Равиолло,Ст.м. Проспект Ветеранов,"Петергофское ш., 73к2",Прямой
Равиолло,Ст.м. Ленинский пр.,"Петергофское ш., 73к2",Прямой
Равиолло,"Петергофское ш., 73к2",Ст.м. Ленинский пр.,Прямой
Равиолло,"Петергофское ш., 73к2",Ст.м. Проспект Ветеранов,Прямой
Резерв (Бронка),"Ломоносов, ж/д-ст. Бронка","пр. Александровской Фермы, 29Б",1/2 круга
Резерв (Бронка),"пр. Александровской Фермы, 29Б","Ломоносов, ж/д-ст. Бронка",1/2 круга
Резерв (Бронка),"пр. Александровской Фермы, 29Б","Ломоносов, ж/д-ст. Бронка",Прямой
Резерв (Бронка),"Ломоносов, ж/д-ст. Бронка","пр. Александровской Фермы, 29Б",Прямой
Резерв (Московский проспект),"пр. Александровской Фермы, 29Б","Прогонная ул., 1",Прямой
Резерв (Московский проспект),"Прогонная ул., 1","пр. Александровской Фермы, 29Б",Прямой
Респект,Ст.м. Московская,"6-й Предпортовый пр-д, 14к13",Прямой
Респект,"6-й Предпортовый пр-д, 14к13",Ст.м. Московская,Прямой
"Ресторан ""В чаще""","Мурино, пр. Авиаторов Балтики, 5","Людмилы Кедриной, 23 (Охта парк)",Прямой
"Ресторан ""В чаще""",Ст.м.Девяткино (через Бугры),"Людмилы Кедриной, 23 (Охта парк)",Прямой
"Ресторан ""В чаще""","Бугры, Шоссейная ул., 5","Людмилы Кедриной, 23 (Охта парк)",Прямой
"Ресторан ""В чаще""","Людмилы Кедриной, 23 (Охта парк, через Бугры)",Ст.м.Девяткино,Прямой
"Ресторан ""В чаще""","Людмилы Кедриной, 23 (Охта парк)",Ст.м.Девяткино,Прямой
"Ресторан ""В чаще"" (Парнас)",Ст.м. Парнас (через Бугры),"Людмилы Кедриной, 23 (Охта парк)",Прямой
"Ресторан ""В чаще"" (Парнас)","Мистолово, Фабрика-кухня",Ст.м. Парнас (через Бугры),Прямой
"Ресторан ""В чаще"" (Парнас)","Людмилы Кедриной, 23 (Охта парк)",Ст.м. Парнас (через Бугры),Прямой
Ресторанная Служба,"СПб, Савушкина 9","ЛО, п. Ильичево, ул. Линтульская аллея, д. 1",1/2 круга
Ресторанная Служба,"ЛО, п. Ильичево, ул. Линтульская аллея, д. 1","СПб, Савушкина 9",1/2 круга
Ресторанная Служба,"ЛО, п. Ильичево, ул. Линтульская аллея, д. 1","СПб, Савушкина 9",Прямой
СИП,Корабельная  6,Ленинский пр.100,Прямой
СИП,Ленинский пр.100,Корабельная  6,Прямой
СК-Сервис,Ст.м.Ветеранов,"Петергофское ш., д. 71",1/2 круга
СК-Сервис,"Петергофское ш., д. 71",Ст.м.Ветеранов,1/2 круга
СМУ-2,"пр. Стачек, 67к7","пр. Энтузиастов, 44",Прямой
СМУ-2,"пр. Энтузиастов, 44","пр. Стачек, 67к7",Прямой
СМУ-2 (Парнас),"пр. Стачек, 67к7","Парнас, 3-й Верхний переулок, 11",Прямой
СМУ-2 (Парнас),"Парнас, 3-й Верхний переулок, 11","пр. Стачек, 67к7",Прямой
СМУ-2 (Репино),"пр. Стачек, 67к7","п.Репино, Спасо-Преображенская улица, 36 А",Прямой
СМУ-2 (Репино),"п.Репино, Спасо-Преображенская улица, 36 А","пр. Стачек, 67к7",Прямой
"Санаторий ""Белые ночи""","Комендантский пр., 14к1","38-й км Приморского шоссе, 2",Прямой
"Санаторий ""Белые ночи""","пос. Первомайское,ул. Советская 4 (маг. Пятерочка"")","38-й км Приморского шоссе, 2",Прямой
"Санаторий ""Белые ночи""","38-й км Приморского шоссе, 2","ст. м. ""Черная речка"" (напротив Ушаковского путепровода)",Прямой
"Санаторий ""Белые ночи""","38-й км Приморского шоссе, 2","пос. Первомайское,ул. Советская 4 (маг. Пятерочка"")",Прямой
Сатурн (Ст.м. Гражданский Проспект),Ст.м. Гражданский Проспект,"Индустриальный, 71",Прямой
Сатурн (Ст.м. Гражданский Проспект),"Индустриальный, 71",Ст.м. Гражданский Проспект,Прямой
Сатурн (Ст.м. Ладожская),Ст.м. Ладожская,"Индустриальный, 71",Прямой
Сатурн (Ст.м. Ладожская),"Индустриальный, 71",Ст.м. Ладожская,Прямой
Сбербанк,Ст.м. Пл.Ленина,"ул.Львовская, 27",Прямой
Сбербанк,"ул.Львовская, 27",Ст.м. Пл.Ленина,Прямой
Сберлогистика,"Витебский пр., 99 (ст.м. Купчино)","Московское ш., 26 и через откатные ворота к Москоскому ш.52",1/2 круга
Сберлогистика,"Витебский пр., 99 (ст.м. Купчино)","Московское ш., 52",1/2 круга
Сберлогистика,"Московское ш., 52","Витебский пр., 99 (ст.м. Купчино)",1/2 круга
Северные сети,"Ветеранов 122 ""Хостел Лига""","Новогорелово, улица 9",Прямой
Северные сети,"Новогорелово, улица 9","Ветеранов 122 ""Хостел Лига""",Прямой
Сервис Плюс,"Витебский пр., 99 (ст.м. Купчино)","Московское ш., 26 и через откатные ворота к Москоскому ш.52",1/2 круга
Сервис Плюс,"Московское ш., 52","Витебский пр., 99 (ст.м. Купчино)",1/2 круга
Стоун Айленд,Ст.м. Проспект Просвещения,"Токсово, Зубровник (напротив)",Прямой
Стоун Айленд,"Токсово, Зубровник (напротив)",Ст.м. Проспект Просвещения,Прямой
ТИС,Ст.м. Проспект Ветеранов,"Новоселье, ул. Петропавловская дом 13",Прямой
ТИС,"Новоселье, ул. Петропавловская дом 13",Ст.м. Проспект Ветеранов,Прямой
"ТИС, ""Сестрорецкий курорт""",Ст.м.Черная Речка,"Сестрорецк, ул. Максима Горького, 2",Прямой
"ТИС, ""Сестрорецкий курорт""","Сестрорецк, ул. Максима Горького, 2",Ст.м.Черная Речка,Прямой
ТМГ,"ул., Тельмана 8","Промышленный район, Центральное отделение, 63",Прямой
ТМГ,"Промышленный район, Центральное отделение, 63","ул., Тельмана 8",Прямой
Таможня,"Московский пр., 193В","Петербургское ш., 62к4 (ПБС)",Прямой
Таможня,"Петербургское ш., 62к4 (ПБС)","Московский пр., 193В",Прямой
Текманн,Ст.м. Черная речка,"ул. 3-я Конная Лахта, 38",Прямой
Текманн,"ул. 3-я Конная Лахта, 38",Ст.м. Черная речка,Прямой
Теплореконструкция,Ст.м. Черная Речка,"Кронштадт, Петровская улица, 2А",Прямой
Теплореконструкция,"Кронштадт, Петровская улица, 2А",Ст.м. Черная Речка,Прямой
Тим - Профи,"Корабельная ул., 6к1","Шушары, Школьная ул., 81",Прямой
Тим - Профи,"Хостел ""Мэрибель"", Октябрьская наб., 50","Участок в Кудрово напротив Мурманское ш., 1",Прямой
Тим - Профи,"Участок в Кудрово напротив Мурманское ш., 1","Хостел ""Мэрибель"", Октябрьская наб., 50",Прямой
Тим - Профи,"Шушары, Школьная ул., 81","Корабельная ул., 6к1",Прямой
Тим-Профи,"Московское ш., 115с4","Шушары - Витебский пр., 109",Прямой
Тим-Профи,"Московское ш., 115с4","Шушары, Новгородский проспект, 2к1",Прямой
Тим-Профи,"Стачек, 18, корп. 2Б","Шушары, Новгородский проспект, 2к1",Прямой
Тим-Профи,"Корабельная ул., 6к1","Шушары, Новгородский проспект, 2к1",Прямой
Тим-Профи,"Шушары, Новгородский проспект, 2к1","Московское ш., 115с4",Прямой
Тим-Профи,"Витебский пр., 109","Московское ш., 115с4",Прямой
Тим-Профи,Витебский пр./ Шушарская дорога,"Тамбовская ул., 80",Прямой
Тим-Профи,"Московское ш., 115с4","Шушары, Школьная ул., 81",Прямой
Тим-Профи,"Тамбовская ул., 80",Витебский пр./ Шушарская дорога,Прямой
Тим-Профи,"Шушары, Новгородский проспект, 2к1","Стачек, 18, корп. 2Б",Прямой
Тим-Профи,"Шушары, Новгородский проспект, 2к1","Корабельная ул., 6к1",Прямой
Тим-Профи,"Шушары, Школьная ул., 81","Московское ш., 115с4",Прямой
ФГУП ФЭО,"Колпино, ж/д станция","Колпино, полигон Красный Бор",1/2 круга
ФГУП ФЭО,"Колпино, полигон Красный Бор","Колпино, ж/д станция",1/2 круга
ФГУП ФЭО,"Колпино, ж/д станция","Колпино, полигон Красный Бор",Прямой
ФГУП ФЭО,"Колпино, полигон Красный Бор","Колпино, ж/д станция",Прямой
Фокус,"Ст.м.Купчино (Витебский пр., 101)","П. Федоровское, ул.Почтовая д16",Прямой
Фокус,"П. Федоровское, ул.Почтовая д16",Ст.м.Купчино,Прямой
Формация (Ст.м. Беговая),Ст.м. Беговая,"Горское шоссе, д. 169 (через ЗСД)",1/2 круга
Формация (Ст.м. Беговая),"Горское шоссе, д. 169",Ст.м. Беговая (через ЗСД),1/2 круга
Формация (Ст.м. Беговая),Ст.м. Беговая,"Горское шоссе, д. 169 (через ЗСД)",Прямой
Формация (Ст.м. Беговая),"Горское шоссе, д. 169",Ст.м. Беговая (через ЗСД),Прямой
Формация (Ст.м. Девяткино),Ст.м. Девяткино,"Горское шоссе, д. 169",1/2 круга
Формация (Ст.м. Девяткино),"Горское шоссе, д. 169",Ст.м. Девяткино,1/2 круга
Формация (Ст.м. Проспект Просвещения),Ст.м. Проспект Просвещения,"Горское шоссе, д. 169",1/2 круга
Формация (Ст.м. Проспект Просвещения),"Горское шоссе, д. 169",Ст.м. Проспект Просвещения,1/2 круга
Формация (Ст.м. Проспект Просвещения),Ст.м. Проспект Просвещения,"Горское шоссе, д. 169",Прямой
Формация (Ст.м. Проспект Просвещения),"Горское шоссе, д. 169",Ст.м. Проспект Просвещения,Прямой
Формация (Ст.м. Старая Деревня),Ст.м. Старая Деревня,"Горское шоссе, д. 169 (через ЗСД)",Прямой
ХАБ  (ст.м. Ветеранов),"Волхонское шоссе, 11, лит. Б",Ст.м. Проспект Ветеранов,Прямой
ХАБ  (ст.м. Московская),Ст.м. Московская,"Волхонское шоссе, 11, лит. Б",1/2 круга
ХАБ  (ст.м. Московская),"Волхонское шоссе, 11, лит. Б",Ст.м. Московская,1/2 круга
Хлеб и соль,По запросу,По запросу,Прямой
"Хлебный дом (""Огни залива"")","Ленинский пр., 43","Смоленская улица, 6 (остановка)",1/2 круга
"Хлебный дом (""Огни залива"")","Ленинский пр., 43","Смоленская улица, 18А",1/2 круга
"Хлебный дом (""Огни залива"")","Смоленская улица, 18А","Ленинский пр., 43",1/2 круга
"Хлебный дом (""Огни залива"")","Смоленская улица, 6 (остановка)","Ленинский пр., 43",1/2 круга
Хлебный дом (Маршала Тухачевского),"Ул. Ольги Форш, 10","ул. Маршала Тухачевского, 24",1/2 круга
Хлебный дом (Маршала Тухачевского),"ул. Маршала Тухачевского, 24","Ул. Ольги Форш, 10",1/2 круга
Хлебный дом (Маршала Тухачевского),"ул. Маршала Тухачевского, 24","Ул. Ольги Форш, 10",Прямой
Хлебный дом (Маршала Тухачевского),"Ул. Ольги Форш, 10","ул. Маршала Тухачевского, 24",Прямой
Хлебный дом (ст.м. Ладожская),"Заневский пр., 42 - Заневский пр., 32","Смоленская улица, 6 (остановка)",1/2 круга
Хлебный дом (ст.м. Ладожская),"Заневский пр., 32","Смоленская улица, 6 (остановка)",1/2 круга
Хлебный дом (ст.м. Ладожская),"Смоленская улица, 6 (остановка)","Заневский пр., 32",1/2 круга
Хлебный дом (ст.м. Ладожская),"Смоленская улица, 6 (остановка)","Заневский пр., 42",1/2 круга
Хлебный дом (ст.м. Ладожская),"Смоленская улица, 6 (остановка)","Заневский пр., 59 - Заневский пр., 42",1/2 круга
Хонор,"Софийская, 118 к.4 стр.3","Московское ш., 117с1",Прямой
Хонор,"Московское ш., 117с1","Софийская, 118 к.4 стр.3",Прямой
