Табличка / направление,Начало маршрута,Окончание маршрута,Тип рейса
OZON ЛЦ Волхонское (шаттл ст.м. Ветеранов),"Волхонское шоссе, 108",Ст.м. Проспект Ветеранов,1/2 круга
OZON ЛЦ Волхонское (шаттл ст.м. Ветеранов),Ст.м. Проспект Ветеранов,"Волхонское шоссе, 108с5",1/2 круга
OZON ЛЦ Волхонское (шаттл ст.м. Ветеранов),"Волхонское шоссе, 108с5",Ст.м. Проспект Ветеранов,1/2 круга
OZON ЛЦ Горское (Кудрово),"Кудрово, Новая ул.","Парголово, Горское ш., 6с16",1/2 круга
OZON ЛЦ Горское (Кудрово),"Парголово, Горское ш., 6с16","Кудрово, Новая ул.",1/2 круга
OZON ЛЦ Шушары (Ст.м. Ладожская),Ст.м. Ладожская,"Московское ш., 145с10",1/2 круга
OZON ЛЦ Шушары (Ст.м. Ладожская),"Московское ш., 145с10",Ст.м. Ладожская,1/2 круга
OZON ПСЦ Колпино (Кировск),"г. Кировск, Театральная площадь","Колпинское ш., 135с2",1/2 круга
OZON ПСЦ Колпино (Кировск),"Колпинское ш., 135с2","г. Кировск, Театральная площадь",1/2 круга
OZON ПСЦ Колпино (Кудрово),"Кудрово, Пражская ул., 9","Колпинское ш., 135с2",1/2 круга
OZON ПСЦ Колпино (Кудрово),"Колпинское ш., 135с2","Кудрово, Пражская ул., 9",1/2 круга
OZON ПСЦ Колпино (м. Большевиков),"улица Коллонтай, 21к1","Колпинское ш., 135с2",1/2 круга
OZON ПСЦ Колпино (м. Большевиков),"Колпинское ш., 135с2","Пр. Большевиков, д.2",1/2 круга
OZON ПСЦ Колпино (м. Ветеранов),"Дачный пр., 19к1","Колпинское ш., 135с2",1/2 круга
OZON ПСЦ Колпино (м. Ветеранов),"Колпинское ш., 135с2","Дачный пр., 18",1/2 круга
OZON ПСЦ Колпино (м. Ладожская),Ст.м. Ладожская,"Колпинское ш., 135с2",1/2 круга
OZON ПСЦ Колпино (м. Ладожская),"Колпинское ш., 135с2",Ст.м. Ладожская,1/2 круга
OZON Парголово (Сертолово),"п. Парголово, ул Подгорная 61 (ЛЦ Парголово, Склад №5)","Сертолово-2, ЖК Новое Сертолово",Прямой
OZON Парголово (Сертолово),"Сертолово-2, ЖК Новое Сертолово","п. Парголово, ул Подгорная 61 (ЛЦ Парголово, Склад №5)",Прямой
OZON Парголово (Ст.м. Девяткино),"п. Парголово, ул Подгорная 61 (ЛЦ Парголово, Склад №5)",Ст.м. Девяткино,Прямой
OZON Парголово (Ст.м. Девяткино),Ст.м. Девяткино,"п. Парголово, ул Подгорная 61 (ЛЦ Парголово, Склад №5)",Прямой
OZON Парголово (Ст.м. Парнас),"п. Парголово, ул Подгорная 61 (ЛЦ Парголово, Склад №5)",Ст.м. Парнас,Прямой
OZON Парголово (Ст.м. Парнас),Ст.м. Парнас,"п. Парголово, ул Подгорная 61 (ЛЦ Парголово, Склад №5)",Прямой
OZON Парголово (Ст.м. Пионерская),"п. Парголово, ул Подгорная 61 (ЛЦ Парголово, Склад №5)",Ст.м. Пионерская,Прямой
OZON Парголово (Ст.м. Пионерская),Ст.м. Пионерская,"п. Парголово, ул Подгорная 61 (ЛЦ Парголово, Склад №5)",Прямой
OZON Парголово (Ст.м. Просвещения),"п. Парголово, ул Подгорная 61 (ЛЦ Парголово, Склад №5)",Ст.м. Проспект Просвещения,1/2 круга
OZON Парголово (Ст.м. Просвещения),Ст.м. Проспект Просвещения,"п. Парголово, ул Подгорная 61 (ЛЦ Парголово, Склад №5)",1/2 круга
OZON Парголово (Ст.м. Просвещения),"п. Парголово, ул Подгорная 61 (ЛЦ Парголово, Склад №5)",Ст.м. Проспект Просвещения,Прямой
OZON Парголово (Ст.м. Просвещения),Ст.м. Проспект Просвещения,"п. Парголово, ул Подгорная 61 (ЛЦ Парголово, Склад №5)",Прямой
OZON Парголово (Ст.м. Просвещения),пр-т Просвещнеия 34Г (автобусная остановка),"п. Парголово, ул Подгорная 61 (ЛЦ Парголово, Склад №5)",Прямой
OZON Парголово (Ст.м. Старая Деревня),"п. Парголово, ул Подгорная 61 (ЛЦ Парголово, Склад №5)",Ст.м. Старая Деревня,Прямой
OZON Парголово (Ст.м. Старая Деревня),"Ст.м. Старая Деревня, Гаккелевская ул.","п. Парголово, ул Подгорная 61 (ЛЦ Парголово, Склад №5)",Прямой
OZON Парнас,Ст.м. Парнас,"Бугры, Шоссейная ул., 50к1",1/2 круга
OZON Парнас,"Бугры, Шоссейная ул., 50к1",Ст.м. Парнас,1/2 круга
OZON Парнас,Ст.м. Парнас,"Бугры, Шоссейная ул., 50к1",Прямой
OZON Парнас,"Бугры, Шоссейная ул., 50к1",Ст.м. Парнас,Прямой
OZON Понссе,Дачный 19к1,"Понссе, 20",1/2 круга
OZON Понссе,"Понссе, 20",Дачный 19к1,1/2 круга
OZON Понссе,"Понссе, 20",Дачный 19к1,Прямой
OZON Понссе (ст.м. Ветеранов),Дачный 19к1,"Понссе, 20",1/2 круга
OZON Понссе (ст.м. Ветеранов),"Понссе, 20",Дачный 19к1,1/2 круга
OZON Понссе (ст.м. Ветеранов),"Понссе, 20",Дачный 19к1,Прямой
