Client,Route_Name,Start_Point,End_Point,Route_Type,Pickup_Time,Departure_Time,Price_Excl_VAT,Capacity
АО АРВИАЙ (РАШЕН ВЕНЧУР ИНВЕСТМЕНТС),ХАБ  (ст.м. Московская),Ст.м. Московская,"Волхонское шоссе, 11, лит. Б",1/2 круга,19:30:00,19:40:00,3750.0,35.0
АО АРВИАЙ (РАШЕН ВЕНЧУР ИНВЕСТМЕНТС),ХАБ  (ст.м. Московская),"Волхонское шоссе, 11, лит. Б",Ст.м. Московская,1/2 круга,21:10:00,21:20:00,3750.0,35.0
АО ЮЗ ТЭЦ,АО ЮЗ ТЭЦ,"Авиационная ул., 9","ул. Доблести, 1",Прямой,08:00:00,08:10:00,7333.333333333333,30.0
АО ЮЗ ТЭЦ,АО ЮЗ ТЭЦ,"ул. Доблести, 1",Ст.м. Ленинский пр.,Прямой,17:00:00,17:10:00,7333.333333333333,30.0
АО ЮЗ ТЭЦ,АО ЮЗ ТЭЦ,"ул. Доблести, 1",Ст.м. Ленинский пр.,Прямой,18:00:00,18:10:00,7333.333333333333,30.0
АПГ Восточная Европа,АПГ,"Авиационная ул, напротив дома 7, остановка","Гатчина, проезд Энергетиков, 15",Прямой,08:20:00,08:20:00,5491.8,10.0
АПГ Восточная Европа,АПГ,"Авиационная ул, напротив дома 7, остановка","Гатчина, Индустриальная, 16Б",Прямой,08:20:00,08:20:00,2916.666666666667,10.0
АПГ Восточная Европа,АПГ,"Гатчина, проезд Энергетиков, 15","Авиационная ул, напротив дома 7, остановка",Прямой,15:30:00,15:30:00,5491.8,10.0
АПГ Восточная Европа,АПГ,"Гатчина, Индустриальная, 16Б","Авиационная ул, напротив дома 7, остановка",Прямой,18:00:00,18:00:00,2916.666666666667,10.0
АПГ Восточная Европа,АПГ,"Гатчина, проезд Энергетиков, 15","Авиационная ул, напротив дома 7, остановка",Прямой,18:00:00,18:00:00,5491.8,10.0
Ай Би Фэсилити,Ай Би Фэсилити,Ст.м.Беговая,"Лахтинский просп., 83, корп. 2 - Лахта",Прямой,06:20:00,06:45:00,2083.333333333333,20.0
Ай Би Фэсилити,Ай Би Фэсилити,Ст.м.Беговая,"Лахтинский просп., 83, корп. 2 - Лахта",Прямой,06:25:00,06:45:00,6631.15,50.0
Ай Би Фэсилити,Ай Би Фэсилити,Ст.м.Беговая,"Лахтинский просп., 83, корп. 2 - Лахта",Прямой,08:20:00,08:45:00,2600.0,20.0
Ай Би Фэсилити,Ай Би Фэсилити,Ст.м.Беговая,"Лахтинский просп., 83, корп. 2 - Лахта",Прямой,08:20:00,08:45:00,6631.15,50.0
Ай Би Фэсилити,Ай Би Фэсилити,Лахта,Ст.м. Беговая,Прямой,21:45:00,21:55:00,2762.2950819672133,20.0
Ай Би Фэсилити,Ай Би Фэсилити (В.О.),ул. Наличная 40к1(карман),"В.О., бульв. Головнина, д. 11 (по ЗСД) - 2 мирика",Прямой,07:00:00,07:15:00,7516.39,30.0
Ай Би Фэсилити,Ай Би Фэсилити (В.О.),ул. Наличная 40к1(карман) ,"В.О., бульв. Головнина, д. 11 (по ЗСД) - 2 мирика",Прямой,07:00:00,07:15:00,7516.39,30.0
Ай Би Фэсилити,Ай Би Фэсилити (В.О.),ул. Наличная 40к1(карман),"В.О., бульв. Головнина, д. 11 (по ЗСД)",Прямой,07:50:00,08:00:00,5303.28,20.0
Ай Би Фэсилити,Ай Би Фэсилити (В.О.),ул. Наличная 40к1(карман),"В.О., бульв. Головнина, д. 11 (по ЗСД)",Прямой,07:50:00,08:00:00,7083.333333333333,30.0
Ай Би Фэсилити,Ай Би Фэсилити (В.О.),"В.О., бульв. Головнина, д. 11 (по ЗСД) - 2 мирика",ул. Наличная 40к1(карман),Прямой,16:50:00,17:00:00,7516.39,30.0
Ай Би Фэсилити,Ай Би Фэсилити (В.О.),"В.О., бульв. Головнина, д. 11 (по ЗСД)",ул. Наличная 40к1(карман),Прямой,18:15:00,18:30:00,7083.333333333333,30.0
Бабина и КО,"Ресторан ""В чаще""","Бугры, Шоссейная ул., 5","Людмилы Кедриной, 23 (Охта парк)",Прямой,07:50:00,07:55:00,3250.0,20.0
Бабина и КО,"Ресторан ""В чаще""",Ст.м.Девяткино (через Бугры),"Людмилы Кедриной, 23 (Охта парк)",Прямой,10:00:00,10:15:00,3250.0,20.0
