Template_ID,Customer_ID,Route_Name,Start_Point,End_Point,Route_Type,Pickup_Time,Departure_Time,Capacity,Price_Excl_VAT
486,57,ООО АБ Инжиниринг,"АК ""Левашово""",Ст.м. Проспект Просвещения,Прямой,17:50:00,18:00:00,19.0,4000.0
487,28,Резерв (Бронка),"пр. Александровской Фермы, 29Б","Ломоносов, ж/д-ст. Бронка",1/2 круга,17:50:00,18:00:00,19.0,3541.67
488,29,СМУ-2,"пр. Энтузиастов, 44","пр. Стачек, 67к7",Прямой,17:50:00,18:00:00,15.0,5000.0
489,76,Таможня,"Петербургское ш., 62к4 (ПБС)","Московский пр., 193В",Прямой,18:00:00,18:00:00,20.0,3310.0
490,68,OZON Понссе,"Понссе, 20",Дачный 19к1,Прямой,17:50:00,18:00:00,8.0,1000.0
491,69,OZON Понссе (ст.м. Ветеранов),"Понссе, 20",Дачный 19к1,Прямой,17:50:00,18:00:00,8.0,1500.0
492,66,АО ЮЗ ТЭЦ,"ул. Доблести, 1",Ст.м. Ленинский пр.,Прямой,18:00:00,18:10:00,30.0,
493,51,БИЗНЕС BOX,"Лахтинский пр., 85к1",Ст.м. Беговая,Прямой,18:00:00,18:10:00,20.0,1600.0
494,84,Био Витрум,"Промзона Горелово, 3-я улица, 1",Ст.м. Проспект Ветеранов,Прямой,18:00:00,18:10:00,20.0,3500.0
495,5,Коломенский,"ул. Салова, 29","Пушкин, Тиньков переулок, 7Д",1/2 круга,18:00:00,18:10:00,15.0,3000.0
496,40,Петрович (ст.м.Гражданский проспект),"ЦО (6-й Верхний переулок, 12В)",Ст.м.Гражданский пр.,Прямой,18:10:00,18:10:00,50.0,2000.0
497,32,Формация (Ст.м. Беговая),"Горское шоссе, д. 169",Ст.м. Беговая (через ЗСД),Прямой,18:00:00,18:10:00,40.0,3000.0
498,45,Сбербанк,"ул.Львовская, 27",Ст.м. Пл.Ленина,Прямой,18:05:00,18:15:00,40.0,2450.0
499,32,Формация (Ст.м. Беговая),"Горское шоссе, д. 169",Ст.м. Беговая (через ЗСД),Прямой,18:05:00,18:15:00,40.0,
500,32,Формация (Ст.м. Проспект Просвещения),"Горское шоссе, д. 169",Ст.м. Проспект Просвещения,Прямой,18:05:00,18:15:00,40.0,
501,5,Коломенский (ЖК Солнечный город),"Пр. Ветеранов, 214","Пушкин, Тиньков переулок, 7Д",1/2 круга,18:10:00,18:20:00,15.0,3500.0
502,3,ЛеманаПро (Гатчина),"Гатчина, улица Чехова, 14Ас3","Московское ш., 177А",1/2 круга,18:10:00,18:20:00,20.0,3350.0
503,34,Сатурн (Ст.м. Гражданский Проспект),"Индустриальный, 71",Ст.м. Гражданский Проспект,Прямой,18:20:00,18:20:00,20.0,
504,34,Сатурн (Ст.м. Гражданский Проспект),"Индустриальный, 71",Ст.м. Гражданский Проспект,Прямой,18:20:00,18:20:00,30.0,
505,34,Сатурн (Ст.м. Ладожская),"Индустриальный, 71",Ст.м. Ладожская,Прямой,18:20:00,18:20:00,20.0,
506,50,ХАБ  (ст.м. Ветеранов),"Волхонское шоссе, 11, лит. Б",Ст.м. Проспект Ветеранов,Прямой,18:15:00,18:25:00,19.0,3500.0
507,15,Ай Би Фэсилити (В.О.),"В.О., бульв. Головнина, д. 11 (по ЗСД)",ул. Наличная 40к1(карман),Прямой,18:15:00,18:30:00,30.0,7083.333333333333
508,61,АртСтройДок,Кронштадт ул. Макаровская 2Л,Ст.м. Беговая,Прямой,18:20:00,18:30:00,19.0,7000.0
509,51,БИЗНЕС BOX,"Лахтинский пр., 85к1",Ст.м. Беговая,Прямой,18:20:00,18:30:00,20.0,1600.0
510,5,Коломенский (Ст.м. Московская),"Ст.м. Московская, Демонстрационный проезд","Пушкин, Тиньков переулок, 7Д",1/2 круга,18:20:00,18:30:00,50.0,4000.0
